,date,cases,deaths,casesNew,deathsNew,casesPer100K,deathsPer100K,dias,codigo_ibge,nome,nome_com_uf,frigorifico
1343,2020-06-18,7.0,0.0,0.0,0.0,206.36792452830002,0.0,27.0,251398,São Francisco (PB),SÃO FRANCISCO (PB),
1344,2020-06-18,21.0,0.0,0.0,0.0,500.11907597050003,0.0,28.0,251400,São João do Cariri (PB),SÃO JOÃO DO CARIRI (PB),
1345,2020-06-18,1.0,0.0,0.0,0.0,22.6142017187,0.0,30.0,251410,São João do Tigre (PB),SÃO JOÃO DO TIGRE (PB),
1346,2020-06-18,17.0,0.0,0.0,0.0,222.80471821759997,0.0,32.0,251420,São José da Lagoa Tapada (PB),SÃO JOSÉ DA LAGOA TAPADA (PB),
1347,2020-06-18,22.0,0.0,0.0,0.0,345.9663469099,0.0,34.0,251430,São José de Caiana (PB),SÃO JOSÉ DE CAIANA (PB),
1348,2020-06-18,5.0,0.0,0.0,0.0,106.7919692439,0.0,48.0,251440,São José de Espinharas (PB),SÃO JOSÉ DE ESPINHARAS (PB),
1349,2020-06-18,51.0,0.0,1.0,0.0,856.1356387443,0.0,40.0,251445,São José dos Ramos (PB),SÃO JOSÉ DOS RAMOS (PB),
1350,2020-06-18,17.0,1.0,0.0,0.0,83.9464717792,4.9380277517,50.0,251450,São José de Piranhas (PB),SÃO JOSÉ DE PIRANHAS (PB),
1351,2020-06-14,1.0,0.0,0.0,0.0,24.981264051999997,0.0,3.0,251455,São José de Princesa (PB),SÃO JOSÉ DE PRINCESA (PB),
1352,2020-06-18,40.0,0.0,0.0,0.0,1124.5431543436,0.0,51.0,251460,São José do Bonfim (PB),SÃO JOSÉ DO BONFIM (PB),
1353,2020-06-18,1.0,0.0,0.0,0.0,55.5247084953,0.0,4.0,251465,São José do Brejo do Cruz (PB),SÃO JOSÉ DO BREJO DO CRUZ (PB),
1354,2020-06-18,100.0,1.0,0.0,0.0,2414.8756339049,24.148756339000002,39.0,251470,São José do Sabugi (PB),SÃO JOSÉ DO SABUGI (PB),
1355,2020-06-18,3.0,0.0,0.0,0.0,82.6901874311,0.0,31.0,251480,São José dos Cordeiros (PB),SÃO JOSÉ DOS CORDEIROS (PB),
1356,2020-06-18,22.0,2.0,0.0,0.0,284.8265147592,25.893319523600002,32.0,251490,São Mamede (PB),SÃO MAMEDE (PB),
